[50, array([  2.49983223e-06,  -7.59064710e-06]), 2.2605609107717584e-05, 0.00042953477636364923]
[51, array([  2.49983223e-06,  -7.59064710e-06]), 2.2605609107717584e-05, 0.00036170066666008083]
[52, array([  2.49983223e-06,  -7.59064710e-06]), 2.2605609107717584e-05, 0.00027929246171494172]
[53, array([  2.49983223e-06,  -7.59064710e-06]), 2.2605609107717584e-05, 0.00023806973000466413]
[54, array([ -4.70312803e-06,  -6.22409618e-06]), 2.2066758049721358e-05, 0.00015849126395179881]
[55, array([ -4.70312803e-06,  -6.22409618e-06]), 2.2066758049721358e-05, 0.00012528033302485752]
[56, array([ -4.70312803e-06,  -6.22409618e-06]), 2.2066758049721358e-05, 8.2518881547155584e-05]
[57, array([ -4.70312803e-06,  -6.22409618e-06]), 2.2066758049721358e-05, 5.8143638545704589e-05]
[58, array([ -5.19226729e-06,  -1.01990011e-06]), 1.4967331278814555e-05, 3.9902419318149639e-05]
[59, array([ -5.79351947e-07,  -1.61518100e-06]), 4.8534964460777985e-06, 2.9570222987640447e-05]
#############################################################
[1, array([ 0.52317418, -0.08384217]), 3.2227363920415297, 17.340330344673017]
[2, array([ 0.52317418, -0.08384217]), 3.2227363920415297, 16.52647078022007]
[3, array([ 0.52317418, -0.08384217]), 3.2227363920415297, 15.837080709245342]
[4, array([ 0.52317418, -0.08384217]), 3.2227363920415297, 14.623535964173758]
[5, array([ 0.81304463, -0.08384217]), 3.0330091218249504, 12.92008213341389]
[6, array([ 0.81304463, -0.08384217]), 3.0330091218249504, 12.072648781063046]
[7, array([ 0.81304463, -0.08384217]), 3.0330091218249504, 10.674716730307878]
[8, array([ 0.81304463, -0.08384217]), 3.0330091218249504, 9.0080550288505989]
[9, array([ 0.81304463, -0.08384217]), 3.0330091218249504, 8.4559488459544561]
[10, array([ 0.81304463, -0.08384217]), 3.0330091218249504, 7.0107354964812787]
[11, array([ 0.81304463, -0.08384217]), 3.0330091218249504, 6.5119693697156844]
[12, array([ 0.12441493, -0.29599014]), 2.3695038804213877, 5.2814500666622264]
[13, array([ 0.12441493, -0.29599014]), 2.3695038804213877, 4.3523853146563436]
[14, array([-0.04544178, -0.11782584]), 0.73526249897157259, 3.7136554290943851]
[15, array([-0.04544178, -0.11782584]), 0.73526249897157259, 3.4831299336331241]
[16, array([-0.04544178, -0.11782584]), 0.73526249897157259, 3.1538413425029206]
[17, array([-0.06072888, -0.10179105]), 0.67522244433296352, 2.889610659358826]
[18, array([-0.06072888, -0.10179105]), 0.67522244433296352, 2.65818622519597]
[19, array([-0.06072888, -0.10179105]), 0.67522244433296352, 2.4078527692899305]
[20, array([-0.03403036,  0.04252203]), 0.23148219270146742, 2.0028052198831721]
[21, array([-0.03403036,  0.04252203]), 0.23148219270146742, 1.61388092675199]
[22, array([-0.03403036,  0.04252203]), 0.23148219270146742, 1.2598313707904676]
[23, array([-0.03403036,  0.04252203]), 0.23148219270146742, 1.0457001424519299]
[24, array([-0.03403036,  0.04252203]), 0.23148219270146742, 0.69807255103504828]
[25, array([-0.04155891, -0.00650893]), 0.1654286802172682, 0.40516191634723508]
[26, array([-0.00618919, -0.01693648]), 0.059638922748444845, 0.30371711125211148]
[27, array([-0.00618919, -0.01693648]), 0.059638922748444845, 0.22088139348874067]
[28, array([-0.01192146,  0.00903705]), 0.0482623032111964, 0.16898460388472278]
[29, array([  2.21242338e-06,   5.41226854e-03]), 0.016088036181575394, 0.1271105450480948]
[30, array([  2.21242338e-06,   5.41226854e-03]), 0.016088036181575394, 0.11643061233862673]
[31, array([-0.00128062,  0.00358716]), 0.011159449344195327, 0.074731104227649586]
[32, array([ 0.00046698,  0.00203336]), 0.0060168324159737274, 0.057498348479769937]
[33, array([ 0.00046698,  0.00203336]), 0.0060168324159737274, 0.046295977154302913]
[34, array([  2.21242338e-06,   1.04388263e-03]), 0.0029815691424741608, 0.03221679106609239]
[35, array([  2.21242338e-06,   1.04388263e-03]), 0.0029815691424741608, 0.0278176026733143]
[36, array([  2.21242338e-06,   1.04388263e-03]), 0.0029815691424741608, 0.020007771246572669]
[37, array([  2.21242338e-06,   1.04388263e-03]), 0.0029815691424741608, 0.017097160857825866]
[38, array([  2.21242338e-06,   1.04388263e-03]), 0.0029815691424741608, 0.011432311081725021]
[39, array([ 0.00024688,  0.00083257]), 0.0024762850314741236, 0.0075829780337762108]
[40, array([ -3.12971350e-04,   6.78953567e-05]), 0.00090853826868242393, 0.0045905947705787934]
[41, array([ -9.27733026e-05,  -1.22287964e-04]), 0.00043478158015419766, 0.0034844604044562467]
[42, array([ -9.49252692e-05,  -1.51158887e-05]), 0.00027211800934567876, 0.0026216222812771584]
[43, array([ -9.49252692e-05,  -1.51158887e-05]), 0.00027211800934567876, 0.0020291451841814912]
[44, array([ -9.49252692e-05,  -1.51158887e-05]), 0.00027211800934567876, 0.0017050676186518565]
[45, array([ -9.49252692e-05,  -1.51158887e-05]), 0.00027211800934567876, 0.0013089756595570101]
[46, array([ -9.49252692e-05,  -1.51158887e-05]), 0.00027211800934567876, 0.0010848339617255398]
[47, array([ -9.49252692e-05,  -1.51158887e-05]), 0.00027211800934567876, 0.0009547510111553414]
[48, array([  4.57135895e-05,   6.09929217e-05]), 0.00021574448003436331, 0.00071837574591571141]
[49, array([ -5.64742417e-05,  -2.67808743e-05]), 0.00017688762626422161, 0.00060114234398911393]
[50, array([ -5.64742417e-05,  -2.67808743e-05]), 0.00017688762626422161, 0.0004937455053897644]
[51, array([ -4.57535144e-05,  -9.43259431e-06]), 0.0001321901045590046, 0.00037994753388295168]
[52, array([ -1.11475896e-05,  -1.99310813e-05]), 6.4605945930384934e-05, 0.00029219050878248609]
[53, array([ -1.27163733e-05,   1.30306506e-05]), 5.1506711166826591e-05, 0.0001841629221941865]
[54, array([ -1.27163733e-05,   1.30306506e-05]), 5.1506711166826591e-05, 0.00013895143355968642]
[55, array([  8.60599512e-06,   7.82484283e-07]), 2.4443826973641336e-05, 0.00010064077598856969]
[56, array([  8.60599512e-06,   7.82484283e-07]), 2.4443826973641336e-05, 8.8773910426187536e-05]
