---------------------#1: seed=510---------------------------
[20, array([-0.01252747, -0.01320764]), 0.060292971991334543, 1.1233023239886035]
[21, array([-0.01252747, -0.01320764]), 0.060292971991334543, 0.98036879672352129]
[22, array([-0.01252747, -0.01320764]), 0.060292971991334543, 0.59624481776594729]
[23, array([-0.01252747, -0.01320764]), 0.060292971991334543, 0.40177721678988193]
[24, array([-0.00522033,  0.00103872]), 0.015809021237260357, 0.16671102459160664]
[25, array([-0.00522033,  0.00103872]), 0.015809021237260357, 0.10772402981338294]
[26, array([-0.00445235, -0.000537  ]), 0.013219856848959655, 0.07406713924959929]
[27, array([-0.00136138,  0.00366242]), 0.011457873896848714, 0.052458020045380582]
[28, array([-0.00018022,  0.00168174]), 0.0048600922552748393, 0.036601291501157804]
[29, array([-0.00018022,  0.00168174]), 0.0048600922552748393, 0.028533191695365279]
[30, array([-0.00135826,  0.00049188]), 0.0041414499686500683, 0.016813180352835477]
[31, array([ 0.00065072,  0.00012616]), 0.0018864902059196886, 0.011632245885399951]
[32, array([ 0.00065072,  0.00012616]), 0.0018864902059196886, 0.0097627750653541227]
[33, array([ 0.00065072,  0.00012616]), 0.0018864902059196886, 0.0075793455710816641]
[34, array([ 0.00065072,  0.00012616]), 0.0018864902059196886, 0.0063879933334544782]
[35, array([-0.00011631, -0.00050516]), 0.0014733485446680739, 0.0044124033144597339]
[36, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.0038783545533196849]
[37, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.0026571383180216124]
[38, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.0018608083136538943]
[39, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.0014623992030775134]
[40, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.0012921555613702117]
[41, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.001172362988293063]
[42, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.0010914625676766044]
[43, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.00088412718996755402]
[44, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.00070143577940724451]
[45, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.00060959967701306188]
[46, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.00052806861819396642]
[47, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.00042084398089050625]
[48, array([ -1.79070713e-05,   1.49456885e-05]), 6.5986408494200788e-05, 0.00031639498996645089]
[49, array([  2.60866895e-06,   1.73229921e-05]), 4.9557437126868109e-05, 0.00021303918478112748]
[50, array([  2.60866895e-06,   1.73229921e-05]), 4.9557437126868109e-05, 0.00017702223181492727]
[51, array([ -1.08489716e-06,  -8.38929980e-06]), 2.3928017217844655e-05, 0.00011532572624650683]
[52, array([ -1.08489716e-06,  -8.38929980e-06]), 2.3928017217844655e-05, 7.4315843852712502e-05]
[53, array([ -4.63571071e-06,  -2.26478756e-06]), 1.4593604760637646e-05, 6.3454626400183398e-05]
[54, array([ -4.63571071e-06,  -2.26478756e-06]), 1.4593604760637646e-05, 5.4214447792322319e-05]
[55, array([  1.97906676e-06,  -2.38429732e-06]), 8.7645372421896184e-06, 4.3455513486900796e-05]
---------------------#4: seed=322---------------------------
[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.953661974483733]
[2, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.5395627049705]
[3, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 14.934121952466697]
