---------------------#1: seed=510---------------------------
[45, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.00076225611557374502]
[46, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.00061582065877212604]
[47, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.00040011380679052524]
[48, array([  3.41539710e-05,   4.00016975e-06]), 9.7293817479471301e-05, 0.00031540386002140155]
[49, array([ -2.50441138e-05,   1.18878526e-05]), 7.8431110623444766e-05, 0.00026515924528984768]
[50, array([  8.46137323e-06,  -2.61967200e-05]), 7.7884831082730699e-05, 0.00022363550007513665]
[51, array([  2.93821042e-08,  -2.64037317e-05]), 7.4699641480879819e-05, 0.00016945722762189418]
[52, array([ -6.40407531e-06,   1.91750317e-06]), 1.8909177516679421e-05, 0.00012510897597559634]
[53, array([  4.11797279e-06,   3.20212391e-06]), 1.4755058853399561e-05, 9.4360471815324587e-05]
[54, array([  4.11797279e-06,   3.20212391e-06]), 1.4755058853399561e-05, 5.9953664190626198e-05]
[55, array([ -4.28123154e-07,  -2.84595829e-06]), 8.1403768281695932e-06, 4.8197385208847973e-05]
---------------------#2: seed=365---------------------------
[1, array([ 1.84514019, -1.14434826]), 6.2030077043446781, 17.045878899602059]
[2, array([ 1.84514019, -1.14434826]), 6.2030077043446781, 15.529973825390917]
[3, array([ 1.84514019, -1.14434826]), 6.2030077043446781, 13.155161061466686]
[4, array([-1.20274761,  0.81640591]), 5.017251843058137, 11.25172773618427]
[5, array([-1.20274761,  0.81640591]), 5.017251843058137, 10.497125716418271]
[6, array([-1.20274761,  0.81640591]), 5.017251843058137, 9.1686981379007513]
[7, array([-1.20274761,  0.81640591]), 5.017251843058137, 8.5154362417041565]
[8, array([-0.00207557,  0.76392358]), 3.0440960672370747, 7.6498707430569182]
[9, array([-0.00207557,  0.76392358]), 3.0440960672370747, 6.7398467067386836]
[10, array([-0.00207557,  0.76392358]), 3.0440960672370747, 6.4707509579755325]
[11, array([-0.00207557,  0.76392358]), 3.0440960672370747, 5.8166525946416305]
