[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 18.667852239447242]
[2, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.52377354384145]
[3, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.870732230610695]
[4, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.617876335991035]
[5, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.571250172763307]
[6, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 15.911200740391536]
[7, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 15.036409619631025]
[8, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 14.550269746769203]
[9, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 13.922279276085874]
[10, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 13.609289036861075]
[11, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 13.236784428690868]
[12, array([ 0.01559301, -1.62030472]), 5.6710628831585126, 12.430961175859547]
[13, array([ 0.01559301, -1.62030472]), 5.6710628831585126, 12.154512389096405]
[14, array([ 1.24330392,  0.433614  ]), 5.4698487442801529, 10.828471493936698]
[15, array([ 0.01559301, -0.40368259]), 2.7386474200469881, 10.340603714013154]
[16, array([ 0.01559301, -0.40368259]), 2.7386474200469881, 8.9996573536761559]
[17, array([ 0.01559301, -0.40368259]), 2.7386474200469881, 8.8548131234972978]
[18, array([ 0.01559301, -0.40368259]), 2.7386474200469881, 8.4173956825700831]
[19, array([ 0.01559301, -0.40368259]), 2.7386474200469881, 8.0203553482577075]
[20, array([ 0.01559301, -0.40368259]), 2.7386474200469881, 7.9465264869214991]
[21, array([ 0.19568257, -0.03356066]), 1.3444284278574092, 6.9347455897653871]
[22, array([ 0.19568257, -0.03356066]), 1.3444284278574092, 6.3491925274635133]
[23, array([ 0.19568257, -0.03356066]), 1.3444284278574092, 5.7346845028105244]
[24, array([ 0.19568257, -0.03356066]), 1.3444284278574092, 5.5164859917732709]
[25, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 4.8674812807872669]
[26, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 4.4503698371961882]
[27, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 4.1094513628634974]
[28, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 3.9616737847617856]
[29, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 3.6086428412848037]
[30, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 3.5018934972351103]
[31, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 3.3499462003983185]
[32, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 3.232827766941349]
[33, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 3.0512776276698363]
[34, array([ 0.01559301, -0.13403032]), 0.80176453013368887, 2.9689288901179411]
[35, array([-0.13187861, -0.0257102 ]), 0.79810699443257649, 2.6884434592526509]
[36, array([-0.13187861, -0.0257102 ]), 0.79810699443257649, 2.6028150692198593]
[37, array([-0.13187861, -0.0257102 ]), 0.79810699443257649, 2.3876647194596177]
[38, array([-0.0378231 ,  0.00193882]), 0.14486628674047752, 2.0755604294678318]
[39, array([-0.0378231 ,  0.00193882]), 0.14486628674047752, 1.926625799665779]
[40, array([-0.0378231 ,  0.00193882]), 0.14486628674047752, 1.6018765196344926]
[41, array([-0.0378231 ,  0.00193882]), 0.14486628674047752, 1.3425819758129083]
[42, array([-0.0378231 ,  0.00193882]), 0.14486628674047752, 1.2110195045662533]
[43, array([-0.0378231 ,  0.00193882]), 0.14486628674047752, 0.87741701146421991]
[44, array([ 0.0205116 ,  0.02303058]), 0.11239791363982876, 0.61275968614608567]
[45, array([ 0.0205116 ,  0.02303058]), 0.11239791363982876, 0.52849352850337838]
[46, array([ 0.01559301,  0.01720683]), 0.079986332346699829, 0.47404586003913496]
[47, array([ 0.01559301,  0.01720683]), 0.079986332346699829, 0.35923004522159019]
[48, array([-0.01684801,  0.01546577]), 0.07856636904256975, 0.28517006340460177]
[49, array([-0.01684801,  0.01546577]), 0.07856636904256975, 0.24644277011676499]
[50, array([ 0.00633078,  0.00193882]), 0.019893995387910923, 0.20385375507975487]
[51, array([ 0.00633078,  0.00193882]), 0.019893995387910923, 0.16377913626064561]
[52, array([ 0.00633078,  0.00193882]), 0.019893995387910923, 0.14184137619252021]
[53, array([ 0.00633078,  0.00193882]), 0.019893995387910923, 0.13583138646170215]
[54, array([ 0.00633078,  0.00193882]), 0.019893995387910923, 0.11724874112424369]
[55, array([ 0.00633078,  0.00193882]), 0.019893995387910923, 0.11533353493766763]
[56, array([ 0.00019397,  0.00084834]), 0.0024815637320299011, 0.071430793478778384]
[57, array([ 0.00019397,  0.00084834]), 0.0024815637320299011, 0.058387961124174569]
[58, array([ 0.00019397,  0.00084834]), 0.0024815637320299011, 0.052904472464425201]
[59, array([ 0.00019397,  0.00084834]), 0.0024815637320299011, 0.044762778404797657]
[60, array([ 0.00019397,  0.00084834]), 0.0024815637320299011, 0.041405754695684839]
[61, array([ 0.00019397,  0.00084834]), 0.0024815637320299011, 0.038902665347028617]
[62, array([ 0.00019397,  0.00084834]), 0.0024815637320299011, 0.023990733200936719]
[63, array([-0.00022634, -0.00079375]), 0.0023526989217441674, 0.019617434495045584]
[64, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.017103010576487332]
[65, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.01630407696619942]
[66, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.012950958614252439]
[67, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.010423550133150794]
[68, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.010210721712373338]
[69, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.0097516532855542511]
[70, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.0086319709587157518]
[71, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.0075879782786864251]
[72, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.0070150095195008252]
[73, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.0062490679329324731]
[74, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.0054578590235638382]
[75, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.0052805004902951149]
[76, array([ 0.00014853,  0.00041985]), 0.0012649136849245401, 0.004600256474104736]
[77, array([-0.00024058, -0.00032059]), 0.001137975699013527, 0.0039014025624378055]
[78, array([-0.00024058, -0.00032059]), 0.001137975699013527, 0.0038180819048652557]
[79, array([-0.00021451, -0.00029868]), 0.0010437038091706263, 0.0032719851691076053]
[80, array([-0.00021451, -0.00029868]), 0.0010437038091706263, 0.0031080383964098069]
[81, array([  2.66731290e-04,  -5.98382066e-05]), 0.00077517127480364323, 0.002551058857381161]
[82, array([ -1.77339782e-05,   2.45010291e-04]), 0.00069641353339422452, 0.0023050536507612128]
[83, array([ -2.34009506e-05,  -1.05332804e-04]), 0.00030549985377037459, 0.0017730290461398291]
[84, array([ -2.34009506e-05,  -1.05332804e-04]), 0.00030549985377037459, 0.0012461662880654423]
[85, array([ -2.34009506e-05,  -1.05332804e-04]), 0.00030549985377037459, 0.0010923100923730723]
[86, array([ -2.34009506e-05,  -1.05332804e-04]), 0.00030549985377037459, 0.00097223300682331977]
[87, array([  3.03948552e-05,  -1.15723901e-05]), 9.2018054460130116e-05, 0.00077264797864797787]
[88, array([  3.03948552e-05,  -1.15723901e-05]), 9.2018054460130116e-05, 0.00068929067549285963]
[89, array([  3.15180232e-05,   1.98388672e-06]), 8.9349413805894784e-05, 0.00061707117569538279]
[90, array([  3.15180232e-05,   1.98388672e-06]), 8.9349413805894784e-05, 0.00054294418473856967]
[91, array([ -1.77339782e-05,  -1.52360439e-05]), 6.6143582249100774e-05, 0.00044848077707646537]
[92, array([ -1.77339782e-05,  -1.52360439e-05]), 6.6143582249100774e-05, 0.00037502844614811792]
[93, array([ -1.67403568e-05,  -5.28872477e-06]), 4.9663833526114587e-05, 0.00028716201556369116]
[94, array([ -1.67403568e-05,  -5.28872477e-06]), 4.9663833526114587e-05, 0.00026566284640123784]
[95, array([ -1.67403568e-05,  -5.28872477e-06]), 4.9663833526114587e-05, 0.00023933419894133222]
[96, array([ -1.67403568e-05,  -5.28872477e-06]), 4.9663833526114587e-05, 0.00020758098619291231]
[97, array([ -1.67403568e-05,  -5.28872477e-06]), 4.9663833526114587e-05, 0.00017998099893334896]
[98, array([ -7.71506043e-06,  -1.57544167e-08]), 2.1823116675978582e-05, 0.00014326352342939331]
