[71, array([  1.75405152e-05,   2.26488568e-05]), 8.1047299663072891e-05, 0.00040057246305886808]
[72, array([  2.35427742e-05,   1.16810726e-05]), 7.4353292621953671e-05, 0.00034240764704884796]
[73, array([  2.35427742e-05,   1.16810726e-05]), 7.4353292621953671e-05, 0.00028292506044182988]
[74, array([  2.35427742e-05,   1.16810726e-05]), 7.4353292621953671e-05, 0.00021999804338053154]
[75, array([  1.75405152e-05,  -1.48880143e-05]), 6.50877544257078e-05, 0.00019430012708339107]
[76, array([  1.75405152e-05,  -1.48880143e-05]), 6.50877544257078e-05, 0.00017844386276086866]
[77, array([  1.75405152e-05,  -1.48880143e-05]), 6.50877544257078e-05, 0.00015820853726138394]
[78, array([ -7.53092376e-06,  -5.11722154e-06]), 2.5754996720639411e-05, 0.00012731647176638105]
[79, array([ -7.53092376e-06,  -5.11722154e-06]), 2.5754996720639411e-05, 0.00010116708867302648]
[80, array([ -7.53092376e-06,  -5.11722154e-06]), 2.5754996720639411e-05, 8.5232760183640008e-05]
[81, array([ -7.53092376e-06,  -5.11722154e-06]), 2.5754996720639411e-05, 7.2343794798879199e-05]
[82, array([ -1.12175048e-06,   6.96345748e-06]), 1.9950873931140478e-05, 6.1213568265028334e-05]
[83, array([ -1.12175048e-06,   6.96345748e-06]), 1.9950873931140478e-05, 5.5325904760206157e-05]
[84, array([ -1.12175048e-06,   6.96345748e-06]), 1.9950873931140478e-05, 5.0413910616864398e-05]
[85, array([  2.18785610e-06,  -3.15142820e-06]), 1.0851461546668162e-05, 4.1965217603401331e-05]
[86, array([ -2.98439880e-06,   1.68119453e-06]), 9.6886771001614136e-06, 3.4492328280943954e-05]
#############################################################
[1, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 18.296366392882614]
[2, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 17.169867448666899]
[3, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.756250535037864]
[4, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 16.15669271188743]
[5, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 14.573919091819823]
[6, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 14.289390487275829]
[7, array([ 2.01928793,  2.03696557]), 6.7149233573038138, 13.238411059145268]
[8, array([ 1.16416515,  2.05119738]), 6.3133012580381909, 12.397412560044142]
[9, array([ 0.09873582, -0.38957812]), 2.8006400848266435, 10.629619006040421]
[10, array([ 0.09873582, -0.38957812]), 2.8006400848266435, 10.313226069678979]
[11, array([ 0.09873582, -0.38957812]), 2.8006400848266435, 9.7729804075618532]
[12, array([ 0.09873582, -0.38957812]), 2.8006400848266435, 9.3299033173655594]
